,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1231,12303.515290082869,10.002857959421817,182.01715382919843,low_loss,0.0015023269583166608,VarK_Conductivity_d35
layer1232,12313.51814804229,10.002857959421817,182.04650632704022,low_loss,0.001510964725628139,VarK_Conductivity_d35
layer1233,12323.521006001713,10.002857959421817,182.0758660081947,low_loss,0.0015196514655141315,VarK_Conductivity_d35
layer1234,12333.523863961134,10.002857959421817,182.10523287491725,low_loss,0.0015283874517852667,VarK_Conductivity_d35
layer1235,12343.526721920556,10.002857959421817,182.13460692946396,low_loss,0.0015371729597607959,VarK_Conductivity_d35
layer1236,12353.529579879949,10.002857959392713,182.16398817409188,low_loss,0.0015460082662767465,VarK_Conductivity_d35
layer1237,12363.53243783937,10.002857959421817,182.193376611059,low_loss,0.001554893649694258,VarK_Conductivity_d35
layer1238,12373.535295798793,10.002857959421817,182.22277224262407,low_loss,0.0015638293899076956,VarK_Conductivity_d35
layer1239,12383.538153758214,10.002857959421817,182.2521750710467,low_loss,0.0015728157683530736,VarK_Conductivity_d35
layer1240,12393.541011717636,10.002857959421817,182.28158509858733,low_loss,0.0015818530680163853,VarK_Conductivity_d35
layer1241,12403.543869677058,10.002857959421817,182.31100232750728,low_loss,0.0015909415734420133,VarK_Conductivity_d35
layer1242,12413.54672763648,10.002857959392713,182.34042676006877,low_loss,0.001600081570741149,VarK_Conductivity_d35
layer1243,12423.549585595872,10.002857959421817,182.36985839853477,low_loss,0.001609273347600396,VarK_Conductivity_d35
layer1244,12433.552443555294,10.002857959421817,182.3992972451692,low_loss,0.0016185171932901518,VarK_Conductivity_d35
layer1245,12443.555301514716,10.002857959421817,182.42874330223682,low_loss,0.0016278133986732982,VarK_Conductivity_d35
layer1246,12453.558159474138,10.002857959421817,182.45819657200326,low_loss,0.0016371622562138075,VarK_Conductivity_d35
layer1247,12463.56101743356,10.002857959421817,182.487657056735,low_loss,0.0016465640599854212,VarK_Conductivity_d35
layer1248,12473.563875392952,10.002857959392713,182.5171247586994,low_loss,0.0016560191056803448,VarK_Conductivity_d35
layer1249,12483.566733352374,10.002857959421817,182.54659968016458,low_loss,0.00166552769061813,VarK_Conductivity_d35
layer1250,12493.569591311796,10.002857959421817,182.57608182339956,low_loss,0.001675090113754326,VarK_Conductivity_d35
layer1251,12503.572449271218,10.002857959421817,182.60557119067437,low_loss,0.0016847066756894538,VarK_Conductivity_d35
layer1252,12513.57530723064,10.002857959421817,182.63506778425972,low_loss,0.0016943776786778925,VarK_Conductivity_d35
