,layerNum,depth_[m],thickness_[km],temp_[k],attenuation_model,twoway_loss_[db],column
44,45,13840.909090908914,318.1818181818235,198.455972847842,high_loss,47.729776124630234,column_0
45,46,14159.090909090737,318.1818181818817,201.2468288486956,high_loss,56.289218361882924,column_0
46,47,14477.272727272619,318.18181818176527,204.08074565168135,high_loss,66.25824270190695,column_0
47,48,14795.454545454384,318.1818181818235,206.9584466470206,high_loss,77.84789830983536,column_0
48,49,15113.636363636208,318.18181818179437,209.88066837093135,high_loss,91.29784766844068,column_0
49,50,15431.818181818002,318.1818181818235,212.84816076255433,high_loss,106.88001258633858,column_0
50,51,15749.999999999825,318.1818181818235,215.8616874262362,high_loss,124.90275195889114,column_0
51,52,16068.181818181649,318.1818181818817,218.92202589925128,high_loss,145.71569681503792,column_0
52,53,16386.36363636353,318.18181818176527,222.0299679250544,high_loss,169.71541207839638,column_0
53,54,16704.545454545296,318.1818181818235,225.1863197320798,high_loss,197.3521147111095,column_0
54,55,17022.72727272712,318.1818181818235,228.39190231847124,high_loss,229.13776020222696,column_0
55,56,17340.909090908943,318.1818181818235,231.64755174283306,high_loss,265.6559212337277,column_0
56,57,17659.090909090766,318.18181818179437,234.95411942074662,high_loss,307.57403366344903,column_0
57,58,17977.27272727256,318.18181818179437,238.3124724279571,high_loss,355.65878854667784,column_0
58,59,18295.454545454355,318.1818181818817,241.72349380514146,high_loss,410.7957213823166,column_0
59,60,18613.636363636237,318.18181818179437,245.18808287053727,high_loss,474.0144125310061,column_0
60,61,18931.81818181803,318.18181818179437,248.70715555294916,high_loss,546.5211931825514,column_0
61,62,19249.999999999825,318.1818181818235,252.28164470625023,high_loss,629.7418839897284,column_0
62,63,19568.18181818165,318.1818181818235,255.91250044582648,high_loss,725.3779228311096,column_0
63,64,19886.363636363472,318.18181818179437,259.60069050943457,high_loss,835.4803192153024,column_0
64,65,20204.545454545267,318.1818181818526,263.34720069177456,high_loss,962.5472750277744,column_0
65,66,20522.72727272712,318.1818181818235,267.15303518071187,high_loss,1109.6531194079346,column_0
66,67,20840.909090908943,159.09090909088263,271.0192198854313,high_loss,1195.1358333863786,column_0
67,68,20999.999999999825,159.09090909088263,272.976,high_loss,1287.4488871769247,column_0
0,1,-1.7462298274040222e-10,159.09090909096994,110.0,high_loss,0.0004829723458193097,column_1
1,2,159.09090909079532,318.1818181818235,110.7278291795882,high_loss,0.0015849533270513377,column_1
2,3,477.2727272726188,318.18181818176527,112.19980460404776,high_loss,0.0030159270967100096,column_1
3,4,795.4545454543841,318.1818181818526,113.69324769417288,high_loss,0.00486835583866284,column_1
4,5,1113.6363636362366,318.1818181818235,115.2084993156582,high_loss,0.007259016558484696,column_1
5,6,1431.81818181806,318.18181818179437,116.74590618864615,high_loss,0.010334937556905267,column_1
6,7,1749.9999999998545,318.1818181818235,118.30582099589239,high_loss,0.014280666697478565,column_1
7,8,2068.181818181678,318.1818181818235,119.88860249307004,high_loss,0.01932714204262919,column_1
8,9,2386.3636363635014,318.1818181818235,121.49461562125869,high_loss,0.025762484134479787,column_1
9,10,2704.545454545325,318.1818181818235,123.12423162166371,high_loss,0.03394508538317568,column_1
10,11,3022.7272727271484,318.18181818176527,124.77782815261389,high_loss,0.04431943660620901,column_1
11,12,3340.9090909089136,318.1818181818235,126.45578940888473,high_loss,0.05743520471759576,column_1
12,13,3659.090909090737,318.1818181818817,128.15850624339788,high_loss,0.07397015994406535,column_1
